week,production,storage,bill,transport,total
1,72526.46464646465,48000,52548.399999999994,48000,25207744.646464653
2,51577.82828282828,32280,37178.799999999996,32280,18283988.28282829
3,29526.71717171717,19949,21302.0,19949,10290727.17171717
4,25182.525252525254,16632,18193.1,16632,8798525.252525257
5,43233.66161616162,29818,31170.999999999993,29818,15016881.61616163
6,13004.469696969696,8440,9385.3,8440,4567829.696969696
7,29721.439393939392,19547,21442.2,19547,10417509.39393939
8,35228.63636363636,22993,25427.9,22993,12357086.36363636
9,33354.0404040404,21993,24096.599999999995,21993,11657530.404040407
10,35936.16161616162,22895,25916.800000000003,22895,12684271.616161618
11,35936.16161616162,22895,25916.800000000003,22895,12684271.616161618
12,37494.64646464646,24758,27131.699999999997,24758,13065906.464646462
13,16040.707070707069,10490,11585.000000000002,10490,5618807.070707068
14,22256.08585858586,14692,16067.500000000002,14692,7785965.858585855
15,23062.020202020205,15201,16648.8,15201,8070870.202020206
16,24957.601010101014,16608,18013.399999999998,16608,8720001.010101015
17,27171.035353535357,18130,19607.6,18130,9490655.35353536
18,24359.191919191926,16095,17583.999999999996,16095,8521541.91919193
19,57745.883838383845,38598,41619.79999999999,38598,20204263.838383853
20,54291.61616161616,35844,39326.299999999996,35844,18887736.161616165
21,4429.166666666667,2889,3189.0,2889,1560176.666666667
22,36004.21717171717,22944,25965.800000000003,22944,12707737.17171717
23,37494.64646464646,24758,27131.699999999997,24758,13065906.464646462
24,15272.651515151514,9937,11032.000000000002,9937,5353981.515151512
